date,station,mean
22/5/2016,48324,1006.33
1/12/2017,48324,1012.34
13/5/2021,48324,1004.88
1/1/2016,48334,1018.96
2/1/2016,48334,1018.15
3/1/2016,48334,1016.29
4/1/2016,48334,1015.2
18/5/2016,48334,1008.15
1/12/2017,48334,1013.35
10/5/2021,48334,1006.63
1/1/2016,48324,1018.33
2/1/2016,48324,1017.6
3/1/2016,48324,1015.89
4/1/2016,48324,1015.05
5/1/2016,48324,1014.44
6/1/2016,48324,1014.45
7/1/2016,48324,1014.92
8/1/2016,48324,1013.85
9/1/2016,48324,1012.6
10/1/2016,48324,1013.99
11/1/2016,48324,1014.25
12/1/2016,48324,1013.59
13/1/2016,48324,1012.33
14/1/2016,48324,1011.53
15/1/2016,48324,1009.79
16/1/2016,48324,1009.24
17/1/2016,48324,1010.23
18/1/2016,48324,1010.48
19/1/2016,48324,1011.07
20/1/2016,48324,1012.14
21/1/2016,48324,1011.73
22/1/2016,48324,1012.23
23/1/2016,48324,1012.67
24/1/2016,48324,1016.03
25/1/2016,48324,1022.41
26/1/2016,48324,1022.26
27/1/2016,48324,1019.76
28/1/2016,48324,1015.05
29/1/2016,48324,1013.63
30/1/2016,48324,1011.94
31/1/2016,48324,1011.4
1/2/2016,48324,1013.12
2/2/2016,48324,1013.24
3/2/2016,48324,1012.95
4/2/2016,48324,1013.18
5/2/2016,48324,1012.17
6/2/2016,48324,1014.23
7/2/2016,48324,1019.18
8/2/2016,48324,1018.4
9/2/2016,48324,1016.56
10/2/2016,48324,1013.53
11/2/2016,48324,1011.71
12/2/2016,48324,1011.85
13/2/2016,48324,1011.61
14/2/2016,48324,1011.95
15/2/2016,48324,1013.39
16/2/2016,48324,1013.97
17/2/2016,48324,1013.91
18/2/2016,48324,1012.61
19/2/2016,48324,1012.28
20/2/2016,48324,1012.78
21/2/2016,48324,1012.69
22/2/2016,48324,1013.71
23/2/2016,48324,1012.71
24/2/2016,48324,1013.13
25/2/2016,48324,1016.64
26/2/2016,48324,1018.53
27/2/2016,48324,1018.64
28/2/2016,48324,1018.1
29/2/2016,48324,1017.02
1/3/2016,48324,1015.22
2/3/2016,48324,1014.94
3/3/2016,48324,1013.87
